hand,red_hand,green_hand,blue_hand,nail,red_nail,green_nail,blue_nail,red_sensor,green_sensor,blue_sensor
5920,220,187,163,8238,214,176,167,67,60,53
6624,217,182,161,8882,206,178,164,65,57,51
5921,220,185,163,9565,204,173,160,65,57,51
12028,192,153,130,6747,218,183,167,48,45,38
14257,182,145,122,8174,212,177,164,46,44,38
14257,182,145,122,8763,210,171,155,48,46,39
9296,206,165,144,9710,207,175,171,75,70,57
8615,209,168,146,6104,221,188,172,74,70,57
9326,207,164,145,4825,229,192,181,74,65,54
5816,220,183,155,6873,220,183,174,71,65,56
6465,216,180,151,2562,239,213,194,73,67,57
5096,223,187,156,4110,231,196,181,72,68,58
19525,151,118,112,14487,181,149,134,18,22,20
19200,149,121,110,18951,149,126,115,18,22,20
19783,142,115,107,9504,205,171,156,18,22,20
16249,174,134,113,7609,216,183,175,31,32,27
16843,171,131,110,6067,218,194,175,31,31,27
14933,180,140,116,3417,234,198,180,30,31,27
6570,219,177,155,6011,220,187,168,77,63,56
5222,224,185,162,6107,223,184,171,72,58,53
7368,215,178,160,3417,234,198,180,80,66,58
14994,180,141,119,8136,208,183,166,38,36,30
15577,177,136,111,6771,214,191,173,37,35,30
15629,178,136,114,6679,214,189,168,38,36,30
6366,217,176,142,6135,221,188,174,61,54,49
6445,217,177,148,4314,226,182,143,58,53,48
6423,217,178,147,4759,226,197,181,56,50,46
5773,221,179,150,9004,218,170,168,80,66,57
5795,221,180,152,8300,221,172,169,76,65,57
6448,219,174,146,9004,218,170,168,82,70,61
4484,227,189,161,9683,213,169,166,81,75,64
5795,221,180,152,8236,213,178,168,77,73,63
5816,220,183,155,8239,215,175,167,77,73,64
